,Unnamed: 0,Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
0,1,Drug Reaction,stop irritation,consult nearest hospital,stop taking drug,follow up
1,2,Malaria,Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out
2,3,Allergy,apply calamine,cover area with bandage,,use ice to compress itching
3,4,Hypothyroidism,reduce stress,exercise,eat healthy,get proper sleep
4,5,Psoriasis,wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths
5,6,GERD,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise
6,7,Chronic cholestasis,cold baths,anti itch medicine,consult doctor,eat healthy
7,8,hepatitis A,Consult nearest hospital,wash hands through,avoid fatty spicy food,medication
8,9,Osteoarthristis,acetaminophen,consult nearest hospital,follow up,salt baths
9,10,(vertigo) Paroymsal  Positional Vertigo,lie down,avoid sudden change in body,avoid abrupt head movment,relax
10,11,Hypoglycemia,lie down on side,check in pulse,drink sugary drinks,consult doctor
11,12,Acne,bath twice,avoid fatty spicy food,drink plenty of water,avoid too many products
12,13,Diabetes ,have balanced diet,exercise,consult doctor,follow up
13,14,Impetigo,soak affected area in warm water,use antibiotics,remove scabs with wet compressed cloth,consult doctor
14,15,Hypertension ,meditation,salt baths,reduce stress,get proper sleep
15,16,Peptic ulcer diseae,avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol
16,17,Dimorphic hemmorhoids(piles),avoid fatty spicy food,consume witch hazel,warm bath with epsom salt,consume alovera juice
17,18,Common Cold,drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
18,19,Chicken pox,use neem in bathing ,consume neem leaves,take vaccine,avoid public places
19,20,Cervical spondylosis,use heating pad or cold pack,exercise,take otc pain reliver,consult doctor
20,21,Hyperthyroidism,eat healthy,massage,use lemon balm,take radioactive iodine treatment
21,22,Urinary tract infection,drink plenty of water,increase vitamin c intake,drink cranberry juice,take probiotics
22,23,Varicose veins,lie down flat and raise the leg high,use oinments,use vein compression,dont stand still for long
23,24,AIDS,avoid open cuts,wear ppe if possible,consult doctor,follow up
24,25,Paralysis (brain hemorrhage),massage,eat healthy,exercise,consult doctor
25,26,Typhoid,eat high calorie vegitables,antiboitic therapy,consult doctor,medication
26,27,Hepatitis B,consult nearest hospital,vaccination,eat healthy,medication
27,28,Fungal infection,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
28,29,Hepatitis C,Consult nearest hospital,vaccination,eat healthy,medication
29,30,Migraine,meditation,reduce stress,use poloroid glasses in sun,consult doctor
30,31,Bronchial Asthma,switch to loose cloothing,take deep breaths,get away from trigger,seek help
31,32,Alcoholic hepatitis,stop alcohol consumption,consult doctor,medication,follow up
32,33,Jaundice,drink plenty of water,consume milk thistle,eat fruits and high fiberous food,medication
33,34,Hepatitis E,stop alcohol consumption,rest,consult doctor,medication
34,35,Dengue,drink papaya leaf juice,avoid fatty spicy food,keep mosquitos away,keep hydrated
35,36,Hepatitis D,consult doctor,medication,eat healthy,follow up
36,37,Heart attack,call ambulance,chew or swallow asprin,keep calm,
37,38,Pneumonia,consult doctor,medication,rest,follow up
38,39,Arthritis,exercise,use hot and cold therapy,try acupuncture,massage
39,40,Gastroenteritis,stop eating solid food for while,try taking small sips of water,rest,ease back into eating
40,41,Tuberculosis,cover mouth,consult doctor,medication,rest
